#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.morph.MorphologicalFeatures|gender|number|case|degree|transitivity|tense|mood|voice|definiteness|value|person|aspect
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Par kukuļņemšanu KNAB izmeklētājs rosina uzsākt kriminālvajāšanu pret četrām bijušajām "Latvenergo" amatpersonām, pret divām no tām - arī par noziedzīgi iegūtu līdzekļu legalizēšanu.
2-5	217-220	pie	_	_	_	_	_	_	_	_	_	_	_	_	spsg	pie	_	_	case	basic	2-6	
2-6	221-231	atbildības	Fem	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Fem\|Number=Sing	*	*	ncfsg4	atbildība	_	_	obl	basic	2-4	
2-7	232-238	četrus	Masc	Plur	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Masc\|Number=Plur\|NumType=Card	*	*	mcsmpa	četri	_	_	nummod	basic	2-11	
2-8	239-247	ārvalstu	Fem	Plur	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Fem\|Number=Plur	*	*	ncfpg6	ārvalsts	_	_	nmod	basic	2-9	
2-9	248-262	komercuzņēmumu	Masc	Plur	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Plur	*	*	ncmpg1	komercuzņēmums	_	_	nmod	basic	2-10	
2-10	263-274	pilnvarotos	Masc	Plur	Acc	Pos	*	Past	*	*	*	Aspect=Perf\|Case=Acc\|Definite=Def\|Degree=Pos\|Gender=Masc\|Number=Plur\|Tense=Past\|VerbForm=Part	*	Perf	vmnpdmpapsyp	pilnvarot	_	_	amod	basic	2-11	
2-11	275-285	pārstāvjus	Masc	Plur	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Masc\|Number=Plur	*	*	ncmpa2	pārstāvis	_	_	obj	basic	2-4	
2-12	285-286	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	_	_	punct	basic	2-19	
2-13	287-295	savukārt	_	_	_	_	_	_	_	_	_	_	_	_	r0m	savukārt	_	_	advmod	basic	2-19	
2-14	296-299	par	_	_	_	_	_	_	_	_	_	_	_	_	spsa	par	_	_	case	basic	2-18	
2-15	300-310	noziedzīgi	_	_	_	_	_	_	_	_	_	_	_	_	r0c	noziedzīgi	_	_	advmod	basic	2-16	
2-16	311-317	iegūtu	Masc	Plur	Gen	Pos	*	Past	*	*	*	Aspect=Perf\|Case=Gen\|Definite=Ind\|Degree=Pos\|Gender=Masc\|Number=Plur\|Tense=Past\|VerbForm=Part	*	Perf	vmnpdmpgpsnp	iegūt	_	_	amod	basic	2-17	
2-17	318-326	līdzekļu	Masc	Plur	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Plur	*	*	ncmpg2	līdzeklis	_	_	nmod	basic	2-18	
2-18	327-339	legalizēšanu	Fem	Sing	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Fem\|Number=Sing	*	*	ncfsa4	legalizēšana	_	_	orphan	basic	2-21	
2-19	340-341	-	_	_	_	_	_	_	_	_	_	_	_	_	zd	-	_	_	conj	basic	2-3	
2-20	342-349	astoņas	Fem	Plur	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Fem\|Number=Plur\|NumType=Card	*	*	mcsfpa	astoņas	_	_	nummod	basic	2-21	
2-21	350-358	personas	Fem	Plur	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Fem\|Number=Plur	*	*	ncfpa4	persona	_	_	ccomp	basic	2-19	
2-22	358-359	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	_	_	punct	basic	2-23	
2-23	360-365	vienu	Fem	Sing	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Fem\|Number=Sing\|NumType=Card	*	*	mcsfsa	viena	_	_	conj	basic	2-3	
2-24	366-369	arī	_	_	_	_	_	_	_	_	_	_	_	_	q	arī	_	_	discourse	basic	2-26	
2-25	370-373	par	_	_	_	_	_	_	_	_	_	_	_	_	spsa	par	_	_	case	basic	2-26	
2-26	374-386	starpniecību	Fem	Sing	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Fem\|Number=Sing	*	*	ncfsa4	starpniecība	_	_	orphan	basic	2-23	
2-27	387-397	kukuļošanā	Fem	Sing	Loc	*	*	*	*	*	*	Case=Loc\|Gender=Fem\|Number=Sing	*	*	ncfsl4	kukuļošana	_	_	acl	basic	2-26	
2-28	397-398	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	_	_	punct	basic	2-30	
2-29	399-402	kas	*	*	Nom	*	*	*	*	*	*	Case=Nom\|PronType=Rel	*	*	pr000nn	kas	_	_	nsubj:pass	basic	2-30	
2-30	403-411	izdarīta	Fem	Sing	Nom	Pos	*	Past	*	*	*	Aspect=Perf\|Case=Nom\|Definite=Ind\|Degree=Pos\|Gender=Fem\|Number=Sing\|Tense=Past\|VerbForm=Part	*	Perf	vmnpdfsnpsnp	izdarīt	_	_	acl	basic	2-26	
2-31	412-421	atkārtoti	_	_	_	_	_	_	_	_	_	_	_	_	r0q	atkārtoti	_	_	advmod	basic	2-30	
2-32	421-422	.	_	_	_	_	_	_	_	_	_	_	_	_	zs	.	_	_	punct	basic	2-3	

#Text=Savukārt par starpniecības kukuļošanā atbalstīšanu KNAB rosina saukt pie atbildības vienu personu.
3-1	424-432	Savukārt	_	_	_	_	_	_	_	_	_	_	_	_	r0m	savukārt	_	_	advmod	basic	3-7	
3-2	433-436	par	_	_	_	_	_	_	_	_	_	_	_	_	spsa	par	_	_	case	basic	3-5	
3-3	437-450	starpniecības	Fem	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Fem\|Number=Sing	*	*	ncfsg4	starpniecība	_	_	nmod	basic	3-5	
3-4	451-461	kukuļošanā	Fem	Sing	Loc	*	*	*	*	*	*	Case=Loc\|Gender=Fem\|Number=Sing	*	*	ncfsl4	kukuļošana	_	_	acl	basic	3-3	
3-5	462-474	atbalstīšanu	Fem	Sing	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Fem\|Number=Sing	*	*	ncfsa4	atbalstīšana	_	_	iobj	basic	3-7	
3-6	475-479	KNAB	*	*	*	*	*	*	*	*	*	Abbr=Yes	*	*	yp	KNAB	organization	*	nsubj	basic	3-7	
3-7	480-486	rosina	*	*	*	*	*	Pres	Ind	Act	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Pos\|Tense=Pres\|VerbForm=Fin\|Voice=Act	3	*	vmnipt330an	rosināt	_	_	root	basic	3-7	
3-8	487-492	saukt	*	*	*	*	*	*	*	*	*	Polarity=Pos\|VerbForm=Inf	*	*	vmnn0t1000n	saukt	_	_	ccomp	basic	3-7	
3-9	493-496	pie	_	_	_	_	_	_	_	_	_	_	_	_	spsg	pie	_	_	case	basic	3-10	
3-10	497-507	atbildības	Fem	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Fem\|Number=Sing	*	*	ncfsg4	atbildība	_	_	obl	basic	3-7	
3-11	508-513	vienu	Fem	Sing	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Fem\|Number=Sing\|NumType=Card	*	*	mcsfsa	viena	_	_	nummod	basic	3-12	
3-12	514-521	personu	Fem	Sing	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Fem\|Number=Sing	*	*	ncfsa4	persona	_	_	obj	basic	3-7	
3-13	521-522	.	_	_	_	_	_	_	_	_	_	_	_	_	zs	.	_	_	punct	basic	3-7	

#Text=Personu vārdi netiek atklāti.
4-1	524-531	Personu	Fem	Plur	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Fem\|Number=Plur	*	*	ncfpg4	persona	_	_	nmod	basic	4-2	
4-2	532-537	vārdi	Masc	Plur	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Masc\|Number=Plur	*	*	ncmpn1	vārds	_	_	nsubj:pass	basic	4-4	
4-3	538-544	netiek	*	*	*	*	*	Pres	Ind	Act	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Neg\|Tense=Pres\|VerbForm=Fin\|Voice=Act	3	*	vtnipi130ay	netikt	_	_	aux	basic	4-4	
4-4	545-552	atklāti	Masc	Plur	Nom	Pos	*	Past	*	*	*	Aspect=Perf\|Case=Nom\|Definite=Ind\|Degree=Pos\|Gender=Masc\|Number=Plur\|Tense=Past\|VerbForm=Part	*	Perf	vmnpdmpnpsnp	atklāt	_	_	root	basic	4-4	
4-5	552-553	.	_	_	_	_	_	_	_	_	_	_	_	_	zs	.	_	_	punct	basic	4-4	
