#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Visērtākie attiecību aspektā ir vidējie bērni, jo visa bērnības pieredze ir saistīta ar saskarsmes treniņu, gan ar vecākiem, gan jaunākiem bērniem.
5-8	435-437	un	cc	*	un	_	_	cc	basic	5-10	
5-9	438-444	viegli	rpm	*	viegli	_	_	advmod	basic	5-10	
5-10	445-448	sāk	vpnipt130an	*	sākt	_	_	conj	basic	5-2	
5-11	449-453	kaut	q	*	kaut	_	_	discourse	basic	5-12	
5-12	454-456	ko	pr000an	*	kas	_	_	obj	basic	5-10	
5-13	457-459	no	spsg	*	no	_	_	case	basic	5-14	
5-14	460-465	jauna	afmsgnp	*	jauns	_	_	obl	basic	5-10	
5-15	465-466	.	zs	*	.	_	_	punct	basic	5-2	

#Text=Prot panākt, ka viņu visi mīl.
6-1	468-472	Prot	vonipt130an	*	prast	_	_	root	basic	6-1	
6-2	473-479	panākt	vmnn0t1000n	*	panākt	_	_	xcomp	basic	6-1	
6-3	479-480	,	zc	*	,	_	_	punct	basic	6-7	
6-4	481-483	ka	cs	*	ka	_	_	mark	basic	6-7	
6-5	484-488	viņu	pp3mpgn	*	viņš	*->2-4	*[2]	iobj	basic	6-7	
6-6	489-493	visi	pg0mpnn	*	viss	_	_	nsubj	basic	6-7	
6-7	494-497	mīl	vmnipt330an	*	mīlēt	_	_	ccomp	basic	6-2	
6-8	497-498	.	zs	*	.	_	_	punct	basic	6-1	

#Text=[8.,103]
7-1	500-501	[	zb	*	\[	_	_	punct	basic	7-2	
7-2	501-503	8.	xo	*	8.	_	_	root	basic	7-2	
7-3	503-504	,	zc	*	,	_	_	punct	basic	7-4	
7-4	504-507	103	xn	*	103	_	_	acl	basic	7-2	
7-5	507-508	]	zb	*	\]	_	_	punct	basic	7-2	
